label,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_jitter,energy_mean,energy_std,energy_slope_variance,energy_max,speech_rate_variance,pause_mean_duration,pause_std_duration,energy_gap_variance,mfcc_mean,mfcc_std,Spectral_flatness_mean,Spectral_flatness_std,spectral_flux_mean,spectral_flux_std,spectral_flux_max,spectral_flux_percentile,spectral_flux_spike_rate
0,190.5150496326432,68.95000252693188,50.0,400.0,350.0,18.855740518420625,0.032576118,0.04124698,0.00010920079,0.22010434,0.0,11.69,0.0,0.0,-39.17836,145.2004,0.06459318,0.08114288,1.0164151,1.4831307,14.445077,4.067532,0.0521813515825491
0,180.778632211928,36.7928043535901,51.60592286660894,381.514100357002,329.9081774903931,9.076833675762478,0.06572672,0.052582137,0.00026550447,0.19473231,0.0,12.01,0.0,0.0,-27.723015,134.24872,0.032483,0.062448416,0.9571062,1.071609,6.8214245,3.1095731,0.0507910074937552
0,182.80311415826267,40.455152861188594,54.58905106774433,400.0,345.4109489322557,6.60458831371273,0.05349856,0.039840434,0.00016504584,0.14000623,0.0,4.41,0.0,0.0,-27.047121,134.26767,0.024837704,0.046122037,0.9283631,0.88918555,7.282843,2.554526,0.0430839002267573
0,139.19711365368985,56.16120244195515,50.0,400.0,350.0,15.107402958127992,0.011482512,0.01057316,1.0589207e-05,0.046693247,0.0,6.77,0.0,0.0,-41.02598,174.09692,0.026086632,0.045642268,0.93415344,1.0217466,6.4476027,2.9814951,0.051698670605613
0,178.76069999128987,36.63210737526709,50.0,363.7797615362641,313.7797615362641,6.838278101758492,0.051432982,0.042360943,0.00018863374,0.16509154,0.0,6.84,0.0,0.0,-26.790762,135.8714,0.037554067,0.067972384,0.96908385,1.0682174,6.6394396,3.233042,0.0599415204678362
0,191.4113546841603,57.161762141932655,50.0,400.0,350.0,9.637601507738388,0.045168426,0.042159066,0.00015721217,0.18608166,0.0,11.53,0.0,0.0,-35.42857,152.39644,0.036521878,0.06667534,0.8693832,0.96646297,6.1343646,2.874701,0.0529054640069384
0,211.14993033079168,96.67612218818692,50.0,400.0,350.0,20.300688956612937,0.01821551,0.019817125,3.4137534e-05,0.096809134,0.0,7.5,0.0,0.0,-37.577072,153.8348,0.05751408,0.08060764,0.94762677,0.94856834,6.8642063,2.8989074,0.056
0,201.35469296018837,75.10331027099524,50.0,400.0,350.0,17.21767020929033,0.02345324,0.024345698,5.1150815e-05,0.11912197,0.0,12.64,0.0,0.0,-36.06621,147.1189,0.041810583,0.06819497,0.9645303,0.9182709,6.504653,2.764156,0.0474683544303797
0,218.864827138114,83.96414003085333,52.285246294502144,381.6824951502354,329.39724885573327,12.496603901528992,0.03193927,0.027398726,5.0596493e-05,0.16589367,0.0,5.86,0.0,0.0,-32.553127,149.8525,0.01748342,0.031986143,0.9091726,0.9363244,6.605536,2.7034454,0.0477815699658703
0,184.40805021934108,70.15578353699651,50.0,400.0,350.0,17.524646367972508,0.030003618,0.030688768,6.604075e-05,0.13183548,0.0,12.4,0.0,0.0,-38.041843,141.4286,0.04435607,0.06710619,0.7834064,0.94146943,6.7542844,2.5351264,0.0459677419354838
0,200.55604586311972,78.30299934357744,50.0,400.0,350.0,17.58199411510225,0.04866635,0.04798672,9.3207105e-05,0.17693667,0.0,7.0,0.0,0.0,-34.6824,136.6096,0.044173617,0.06612353,0.7270028,0.7017444,4.9841013,2.075771,0.0442857142857142
0,205.6086762273005,85.0733067086629,50.35442664186996,400.0,349.64557335813004,20.950553711034505,0.016903324,0.021908822,5.2968157e-05,0.17728993,0.0,4.15,0.0,0.0,-38.31943,137.57524,0.0914377,0.091197886,0.92198735,0.84685,4.3412576,2.8393712,0.0674698795180722
0,179.28256775153866,54.05056334607351,50.0,400.0,350.0,12.81446315437176,0.040210336,0.035930697,8.761826e-05,0.16425966,0.0,6.47,0.0,0.0,-31.726044,134.52779,0.013913744,0.021010723,0.9981968,0.9806597,7.9481387,2.8006403,0.0432766615146831
0,182.27228508026585,38.21973182375574,52.59548807876834,340.3128000007329,287.7173119219645,7.739165345235619,0.04942175,0.04497309,0.0002442588,0.17126004,0.0,4.03,0.0,0.0,-28.835459,136.1272,0.041139055,0.067694165,0.95298743,0.9274926,7.1791983,2.7849052,0.0496277915632754
